"ple0008","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"Satisfactory","2002","35-65 y.","Female","2426","0.377917649028216","0.366350702395964","0.389484595660468","3"
"Satisfactory","2002","66 and older","Male","754","0.469119696536231","0.444840798498043","0.493398594574419","3"
"Satisfactory","2002","66 and older","Female","891","0.43953067578765","0.417827232449685","0.461234119125615","3"
"Very good","2002","16-34 y.","Male","703","0.23534463677357","0.220100963619","0.25058830992814","1"
"Very good","2002","16-34 y.","Female","631","0.19146354077937","0.17782281265828","0.205104268900459","1"
"Very good","2002","35-65 y.","Male","467","0.0652903017576108","0.0593131719137039","0.0712674316015176","1"
"Very good","2002","35-65 y.","Female","475","0.0644166803128723","0.0585602010522163","0.0702731595735283","1"
"Very good","2002","66 and older","Male","43","0.0206039737525399","0.0136929323635688","0.0275150151415111","1"
"Very good","2002","66 and older","Female","34","0.0194517557445512","0.0134126586849674","0.0254908528041351","1"
"Good","2003","16-34 y.","Male","1493","0.515896362368973","0.497425344065392","0.534367380672553","2"
"Good","2003","16-34 y.","Female","1674","0.545570447209337","0.527925634431445","0.56321525998723","2"
"Good","2003","35-65 y.","Male","2699","0.418040084677018","0.40579027648375","0.430289892870286","2"
"Good","2003","35-65 y.","Female","2673","0.391542411632231","0.37964180292523","0.403443020339231","2"
"Good","2003","66 and older","Female","352","0.166635674233948","0.15041699218618","0.182854356281716","2"
"Good","2003","66 and older","Male","416","0.245558837028238","0.224909296408843","0.266208377647632","2"
"Less good","2003","16-34 y.","Male","109","0.0415646179362065","0.0341875505896052","0.0489416852828078","4"
"Less good","2003","16-34 y.","Female","179","0.0604741794181262","0.0520272725741049","0.0689210862621475","4"
"Less good","2003","35-65 y.","Male","757","0.129056529244478","0.120730100619484","0.137382957869472","4"
"Less good","2003","35-65 y.","Female","907","0.15120783875251","0.142473049174895","0.159942628330126","4"
"Less good","2003","66 and older","Male","346","0.201420911139751","0.182179754830354","0.220662067449149","4"
"Less good","2003","66 and older","Female","559","0.283847426899457","0.264224699309649","0.303470154489265","4"
"Poor","2003","16-34 y.","Male","22","","","","5"
"Poor","2003","35-65 y.","Male","188","0.034495533523997","0.0299630903703747","0.0390279766776193","5"
"Poor","2003","16-34 y.","Female","22","","","","5"
"Poor","2003","35-65 y.","Female","200","0.0395659715270327","0.0348130647008767","0.0443188783531887","5"
"Poor","2003","66 and older","Male","137","0.0815973104825357","0.0684639937468288","0.0947306272182425","5"
"Poor","2003","66 and older","Female","220","0.11819506122523","0.104144293835439","0.132245828615022","5"
"Satisfactory","2003","16-34 y.","Male","520","0.198235482726697","0.183500333265224","0.21297063218817","3"
"Satisfactory","2003","16-34 y.","Female","620","0.216718848001365","0.202118421835495","0.231319274167234","3"
"Satisfactory","2003","35-65 y.","Male","2098","0.344817645442102","0.33301309027092","0.356622200613284","3"
"Satisfactory","2003","35-65 y.","Female","2226","0.353739183406051","0.34208155759415","0.365396809217952","3"
"Satisfactory","2003","66 and older","Male","721","0.446440945980272","0.422591191544242","0.470290700416302","3"
"Satisfactory","2003","66 and older","Female","863","0.411053294706657","0.389639127927478","0.432467461485837","3"
"Very good","2003","16-34 y.","Male","668","0.232027867454197","0.216425760970601","0.247629973937793","1"
"Very good","2003","16-34 y.","Female","564","0.172504324615724","0.1591155382328","0.185893110998648","1"
"Very good","2003","35-65 y.","Male","486","0.0735902071124042","0.0671055745868372","0.0800748396379712","1"
"Very good","2003","35-65 y.","Female","456","0.0639445946821754","0.0579795004136663","0.0699096889506844","1"
"Very good","2003","66 and older","Female","34","0.0202685429347071","0.0141354590241944","0.0264016268452198","1"
"Very good","2003","66 and older","Male","49","0.0249819953692036","0.0174944442203192","0.0324695465180879","1"
"Good","2004","16-34 y.","Male","1451","0.509360345848241","0.490517840985331","0.52820285071115","2"
"Good","2004","16-34 y.","Female","1609","0.520672344100821","0.50259267163774","0.538752016563901","2"
"Good","2004","35-65 y.","Male","2580","0.404727874988956","0.392291562385984","0.417164187591927","2"
"Good","2004","35-65 y.","Female","2598","0.383732000699561","0.371696102436994","0.395767898962128","2"
"Good","2004","66 and older","Female","341","0.15588177845334","0.140270336139267","0.171493220767413","2"
"Good","2004","66 and older","Male","407","0.222644709926699","0.203018173491753","0.242271246361646","2"
"Less good","2004","16-34 y.","Male","104","0.0448350047617816","0.037035041510711","0.0526349680128523","4"
"Less good","2004","16-34 y.","Female","176","0.0670373978771108","0.0579866857553225","0.0760881099988991","4"
"Less good","2004","35-65 y.","Male","725","0.142820738861125","0.133955636310064","0.151685841412187","4"
"Less good","2004","35-65 y.","Female","896","0.159729505211247","0.150662125125732","0.168796885296763","4"
"Less good","2004","66 and older","Female","599","0.307296607163844","0.28744040183934","0.327152812488348","4"
"Less good","2004","66 and older","Male","358","0.210435604839878","0.19120552512408","0.229665684555676","4"
"Poor","2004","16-34 y.","Female","19","","","","5"
"Poor","2004","16-34 y.","Male","24","","","","5"
"Poor","2004","35-65 y.","Male","192","0.0383701987970521","0.0335032891905438","0.0432371084035604","5"
"Poor","2004","35-65 y.","Female","186","0.0354646999168227","0.0308871098438577","0.0400422899897877","5"
"Poor","2004","66 and older","Male","159","0.100460758153823","0.0862788072368293","0.114642709070816","5"
"Poor","2004","66 and older","Female","246","0.126177886546117","0.111887405281433","0.140468367810801","5"
"Satisfactory","2004","16-34 y.","Male","444","0.178551963334928","0.16411695262758","0.192986974042275","3"
"Satisfactory","2004","16-34 y.","Female","573","0.203397334258257","0.188829816184408","0.217964852332106","3"
"Satisfactory","2004","35-65 y.","Male","2045","0.340250734932956","0.328246311881723","0.35225515798419","3"
"Satisfactory","2004","35-65 y.","Female","2143","0.352992519229713","0.341164361901157","0.364820676558269","3"
"Satisfactory","2004","66 and older","Female","853","0.39277002031421","0.371752112487797","0.413787928140623","3"
"Satisfactory","2004","66 and older","Male","756","0.441173948981882","0.417749415679754","0.46459848228401","3"
"Very good","2004","16-34 y.","Male","681","0.252458191917911","0.236084099983412","0.268832283852409","1"
"Very good","2004","16-34 y.","Female","556","0.200509814698005","0.186019879418534","0.214999749977475","1"
"Very good","2004","35-65 y.","Male","442","0.0738304524199103","0.0672050034688082","0.0804559013710125","1"
"Very good","2004","35-65 y.","Female","448","0.0680812749426561","0.0618470488324104","0.0743155010529019","1"
"Very good","2004","66 and older","Female","35","0.0178737075224891","0.0121716091252618","0.0235758059197165","1"
"Very good","2004","66 and older","Male","46","0.0252849780977179","0.0178787375083724","0.0326912186870634","1"
"Good","2005","16-34 y.","Male","1333","0.505532434589619","0.486127087373791","0.524937781805447","2"
"Good","2005","16-34 y.","Female","1472","0.522328237987448","0.503750335118809","0.540906140856087","2"
"Good","2005","35-65 y.","Male","2313","0.391036451224051","0.378280673566307","0.403792228881796","2"
"Good","2005","35-65 y.","Female","2479","0.385366888311353","0.373036941922513","0.397696834700192","2"
"Good","2005","66 and older","Male","380","0.20528837461506","0.186315389473519","0.224261359756601","2"
"Good","2005","66 and older","Female","358","0.162254674266381","0.146360701379766","0.178148647152996","2"
"Less good","2005","16-34 y.","Male","101","0.0499645943275391","0.0415083196951714","0.0584208689599068","4"
"Less good","2005","16-34 y.","Female","170","0.0606326667266708","0.0517563822466738","0.0695089512066678","4"
"Less good","2005","35-65 y.","Male","763","0.15939121723043","0.14982298239805","0.16895945206281","4"
"Less good","2005","35-65 y.","Female","836","0.152002024801341","0.142906283330274","0.161097766272409","4"
"Less good","2005","66 and older","Male","385","0.221195411200663","0.201699164445108","0.240691657956217","4"
"Less good","2005","66 and older","Female","616","0.312620059851281","0.292635954955716","0.332604164746845","4"
"Poor","2005","16-34 y.","Male","18","","","","5"
"Poor","2005","16-34 y.","Female","19","","","","5"
"Poor","2005","35-65 y.","Male","180","0.0379512561514301","0.0329565000459885","0.0429460122568718","5"
"Poor","2005","35-65 y.","Female","197","0.0369309284679017","0.0321529977858692","0.0417088591499342","5"
"Poor","2005","66 and older","Male","164","0.105306514993747","0.0908882347287457","0.119724795258747","5"
"Poor","2005","66 and older","Female","213","0.111369867154887","0.0978079145780746","0.1249318197317","5"
"Satisfactory","2005","16-34 y.","Male","504","0.214423197590945","0.198493475098314","0.230352920083576","3"
"Satisfactory","2005","16-34 y.","Female","587","0.221127308295477","0.205692025901911","0.236562590689043","3"
"Satisfactory","2005","35-65 y.","Male","2007","0.350328914452124","0.337858312098057","0.36279951680619","3"
"Satisfactory","2005","35-65 y.","Female","2069","0.362246253144539","0.350069136277546","0.374423370011532","3"
"Satisfactory","2005","66 and older","Female","848","0.397245723562285","0.376150816411596","0.418340630712975","3"
"Satisfactory","2005","66 and older","Male","778","0.447608436624721","0.424251205630031","0.470965667619412","3"
"Very good","2005","16-34 y.","Male","594","0.220964313874428","0.204860907709399","0.237067720039457","1"
"Very good","2005","16-34 y.","Female","529","0.187877638647055","0.173349551642577","0.202405725651533","1"
"Very good","2005","35-65 y.","Male","359","0.0612921609419654","0.0550221202503537","0.067562201633577","1"
"Very good","2005","66 and older","Male","34","0.0206012625658096","0.0139289651899365","0.0272735599416826","1"
"Very good","2005","35-65 y.","Female","404","0.0634539052748655","0.0572778699658201","0.0696299405839108","1"
"Very good","2005","66 and older","Female","32","0.0165096751651659","0.0110163897681809","0.0220029605621509","1"
"Good","2006","16-34 y.","Male","1341","0.522663432876929","0.50283247292659","0.542494392827267","2"
"Good","2006","16-34 y.","Female","1423","0.507468520657086","0.488621330244132","0.52631571107004","2"
"Good","2006","35-65 y.","Male","2555","0.407730684334414","0.39526525502667","0.420196113642158","2"
"Good","2006","35-65 y.","Female","2613","0.367640471016554","0.355875398666726","0.379405543366381","2"
"Good","2006","66 and older","Male","488","0.220392684449455","0.202634440524789","0.23815092837412","2"
"Good","2006","66 and older","Female","444","0.180712212772733","0.165285935506149","0.196138490039317","2"
"Less good","2006","16-34 y.","Male","93","0.0419785433317458","0.0340165533532568","0.0499405333102347","4"
"Less good","2006","16-34 y.","Female","176","0.0766277943516998","0.0665999720468213","0.0866556166565782","4"
"Less good","2006","35-65 y.","Male","696","0.125407605297505","0.117006707308598","0.133808503286412","4"
"Less good","2006","35-65 y.","Female","891","0.149045667641289","0.140355788888837","0.15773554639374","4"
"Less good","2006","66 and older","Male","467","0.22586183429939","0.207947769458615","0.243775899140166","4"
"Less good","2006","66 and older","Female","650","0.280544863825595","0.262533269355832","0.298556458295359","4"
"Poor","2006","16-34 y.","Male","13","","","","5"
"Poor","2006","35-65 y.","Male","211","0.044600473320356","0.0393641895993038","0.0498367570414082","5"
"Poor","2006","16-34 y.","Female","18","","","","5"
"Poor","2006","35-65 y.","Female","201","0.036145155668151","0.0315907492938347","0.0406995620424673","5"
"Poor","2006","66 and older","Male","178","0.0963782619607141","0.0837353720309496","0.109021151890479","5"
"Poor","2006","66 and older","Female","290","0.127241932008317","0.11388178601247","0.140602078004164","5"
"Satisfactory","2006","16-34 y.","Female","606","0.235978744804147","0.219971586793715","0.251985902814579","3"
"Satisfactory","2006","16-34 y.","Male","447","0.201928955043814","0.185990713563838","0.21786719652379","3"
"Satisfactory","2006","35-65 y.","Male","2098","0.357212266816628","0.345057184684835","0.369367348948422","3"
"Satisfactory","2006","35-65 y.","Female","2288","0.367619920466219","0.355854985780949","0.379384855151489","3"
"Satisfactory","2006","66 and older","Male","897","0.429841354591917","0.408632587055831","0.451050122128002","3"
"Satisfactory","2006","66 and older","Female","964","0.393584855853771","0.373998513130205","0.413171198577337","3"
"Very good","2006","16-34 y.","Male","543","0.224821508715114","0.208247021066466","0.241395996363761","1"
"Very good","2006","16-34 y.","Female","480","0.17319811539478","0.158932274432202","0.187463956357357","1"
"Very good","2006","35-65 y.","Male","410","0.0650489702310962","0.0587932751706464","0.071304665291546","1"
"Very good","2006","35-65 y.","Female","459","0.0795487852077877","0.0729461382655567","0.0861514321500187","1"
"Very good","2006","66 and older","Male","63","0.0275258646985243","0.0205165914319747","0.0345351379650739","1"
"Very good","2006","66 and older","Female","42","0.0179161355395836","0.0125981690292976","0.0232341020498696","1"
"Good","2007","16-34 y.","Female","1282","0.500690734762737","0.48099635261068","0.520385116914795","2"
"Good","2007","16-34 y.","Male","1235","0.552822051162427","0.532232022526023","0.57341207979883","2"
"Good","2007","35-65 y.","Male","2421","0.411526607771967","0.398524591348259","0.424528624195676","2"
"Good","2007","35-65 y.","Female","2452","0.378723565366591","0.366409764244216","0.391037366488966","2"
"Good","2007","66 and older","Male","455","0.202609644381782","0.185188889049957","0.220030399713606","2"
"Good","2007","66 and older","Female","474","0.18543736118216","0.169713745913283","0.201160976451037","2"
"Less good","2007","16-34 y.","Female","151","0.0583026306059811","0.0490732506652477","0.0675320105467144","4"
"Less good","2007","16-34 y.","Male","88","0.04005520989925","0.0319348231145151","0.048175596683985","4"
"Less good","2007","35-65 y.","Male","696","0.142053294168483","0.132829615923371","0.151276972413595","4"
"Less good","2007","35-65 y.","Female","798","0.15491281275911","0.145727732437522","0.164097893080699","4"
"Less good","2007","66 and older","Male","488","0.246411512937072","0.227734859508176","0.265088166365969","4"
"Less good","2007","66 and older","Female","649","0.287427612649818","0.26911837403552","0.305736851264115","4"
"Poor","2007","16-34 y.","Female","17","","","","5"
"Poor","2007","16-34 y.","Male","12","","","","5"
"Poor","2007","35-65 y.","Male","183","0.0373906188335299","0.0323781151356653","0.0424031225313945","5"
"Poor","2007","35-65 y.","Female","193","0.0373888069618511","0.0325728257112216","0.0422047882124807","5"
"Poor","2007","66 and older","Male","166","0.0897896529750979","0.0773992490237213","0.102180056926474","5"
"Poor","2007","66 and older","Female","217","0.0947442004591317","0.0828959692176917","0.106592431700572","5"
"Satisfactory","2007","16-34 y.","Female","584","0.244799742738164","0.227863802442329","0.261735683033998","3"
"Satisfactory","2007","16-34 y.","Male","418","0.191710930144627","0.175409306136969","0.208012554152286","3"
"Satisfactory","2007","35-65 y.","Male","1884","0.356459415098525","0.343805021161042","0.369113809036008","3"
"Satisfactory","2007","35-65 y.","Female","2125","0.365878357118608","0.353650702073347","0.378106012163869","3"
"Satisfactory","2007","66 and older","Male","884","0.436253982368958","0.414760198348179","0.457747766389736","3"
"Satisfactory","2007","66 and older","Female","972","0.415741394853781","0.395802286225865","0.435680503481697","3"
"Very good","2007","16-34 y.","Male","487","0.209329261078542","0.192481705977359","0.226176816179724","1"
"Very good","2007","16-34 y.","Female","442","0.188594504208329","0.173186149777321","0.204002858639337","1"
"Very good","2007","35-65 y.","Male","319","0.0525700641274949","0.0466736070771016","0.0584665211778881","1"
"Very good","2007","35-65 y.","Female","393","0.06309645779384","0.0569242795415567","0.0692686360461233","1"
"Very good","2007","66 and older","Female","35","0.0166494308551097","0.0114728210686609","0.0218260406415585","1"
"Very good","2007","66 and older","Male","52","0.0249352073370905","0.0181771065492628","0.0316933081249182","1"
"Good","2008","16-34 y.","Male","1114","0.529562416405188","0.508127932115332","0.550996900695044","2"
"Good","2008","16-34 y.","Female","1198","0.510969429289885","0.490477849508573","0.531461009071197","2"
"Good","2008","35-65 y.","Male","2172","0.402989307949734","0.389544704070754","0.416433911828714","2"
"Good","2008","35-65 y.","Female","2299","0.386735588832183","0.373945003100981","0.399526174563384","2"
"Good","2008","66 and older","Male","510","0.231315741084031","0.21306217392028","0.249569308247782","2"
"Good","2008","66 and older","Female","443","0.170026988856154","0.154677967206568","0.185376010505739","2"
"Less good","2008","16-34 y.","Female","175","0.0768611275903641","0.065941775415123","0.0877804797656051","4"
"Less good","2008","16-34 y.","Male","108","0.0547486095607035","0.044979304631053","0.0645179144903541","4"
"Less good","2008","35-65 y.","Male","648","0.141625566541605","0.132068614390575","0.151182518692635","4"
"Less good","2008","35-65 y.","Female","811","0.152290743846915","0.142854053625678","0.161727434068153","4"
"Less good","2008","66 and older","Male","434","0.221746948307676","0.203764020428779","0.239729876186573","4"
"Less good","2008","66 and older","Female","623","0.263688041260987","0.245684168879786","0.281691913642188","4"
"Poor","2008","16-34 y.","Female","17","","","","5"
"Poor","2008","16-34 y.","Male","7","","","","5"
"Poor","2008","35-65 y.","Male","175","0.0374369978815371","0.0322337407940345","0.0426402549690397","5"
"Poor","2008","35-65 y.","Female","175","0.040014843875668","0.034867273363735","0.0451624143876011","5"
"Poor","2008","66 and older","Male","170","0.0862099036166951","0.0740599963365179","0.0983598108968723","5"
"Poor","2008","66 and older","Female","198","0.0932657390735347","0.0813837031065306","0.105147775040539","5"
"Satisfactory","2008","16-34 y.","Male","378","0.18511540633769","0.168436299448316","0.201794513227064","3"
"Satisfactory","2008","16-34 y.","Female","475","0.225314756625983","0.208188303206067","0.242441210045899","3"
"Satisfactory","2008","35-65 y.","Male","1774","0.352669212021261","0.339572656151384","0.365765767891138","3"
"Satisfactory","2008","35-65 y.","Female","1904","0.351622483325423","0.339082072223819","0.364162894427027","3"
"Satisfactory","2008","66 and older","Male","896","0.439319684918358","0.417835486900127","0.460803882936589","3"
"Satisfactory","2008","66 and older","Female","999","0.455423726890065","0.435075481522858","0.475771972257272","3"
"Very good","2008","16-34 y.","Male","476","0.228981001454514","0.210936880856586","0.247025122052443","1"
"Very good","2008","16-34 y.","Female","421","0.181197815610603","0.165408040184079","0.196987591037127","1"
"Very good","2008","35-65 y.","Male","344","0.0652789156058628","0.0585081515507723","0.0720496796609534","1"
"Very good","2008","66 and older","Male","40","0.0214077220732394","0.0151421997502678","0.027673244396211","1"
"Very good","2008","35-65 y.","Female","380","0.069336340119811","0.0626646430764363","0.0760080371631858","1"
"Very good","2008","66 and older","Female","38","0.0175955039192594","0.0122235063565132","0.0229675014820056","1"
"Good","2009","16-34 y.","Male","1065","0.552407661044164","0.530194831046692","0.574620491041637","2"
"Good","2009","35-65 y.","Male","1953","0.385329562121594","0.371435261253116","0.399223862990071","2"
"Good","2009","16-34 y.","Female","1113","0.511337293181658","0.489829424671682","0.532845161691635","2"
"Good","2009","35-65 y.","Female","2068","0.368706916704314","0.355550820275963","0.381863013132665","2"
"Good","2009","66 and older","Male","469","0.237555420585209","0.218828607746903","0.256282233423515","2"
"Good","2009","66 and older","Female","404","0.164204234369117","0.148793836088955","0.179614632649279","2"
"Less good","2009","16-34 y.","Female","130","0.0720682607344454","0.0609414916308827","0.083195029838008","4"
"Less good","2009","16-34 y.","Male","92","0.0505217270775061","0.0407377746156996","0.0603056795393126","4"
"Less good","2009","35-65 y.","Male","619","0.144521096401093","0.134482577361161","0.154559615441025","4"
"Less good","2009","35-65 y.","Female","728","0.145692081693899","0.13607161633137","0.155312547056428","4"
"Less good","2009","66 and older","Female","613","0.270157521907244","0.251686339206077","0.28862870460841","4"
"Less good","2009","66 and older","Male","393","0.210414961110811","0.192479397832018","0.228350524389604","4"
"Poor","2009","16-34 y.","Male","12","","","","5"
"Poor","2009","16-34 y.","Female","16","","","","5"
"Poor","2009","35-65 y.","Male","146","0.0314396887724808","0.0264577105506941","0.0364216669942674","5"
"Poor","2009","35-65 y.","Female","159","0.0383312788145239","0.0330957531884326","0.0435668044406151","5"
"Poor","2009","66 and older","Male","158","0.0774659205879405","0.0657027658631287","0.0892290753127523","5"
"Poor","2009","66 and older","Female","209","0.100220202179966","0.0877286225714153","0.112711781788517","5"
"Satisfactory","2009","16-34 y.","Male","353","0.191743473506479","0.17415745080596","0.209329496206998","3"
"Satisfactory","2009","16-34 y.","Female","456","0.241000572064131","0.22259841210241","0.259402732025852","3"
"Satisfactory","2009","35-65 y.","Male","1724","0.379260250008031","0.365407920516694","0.393112579499367","3"
"Satisfactory","2009","66 and older","Male","914","0.452623108163037","0.430720852304381","0.474525364021692","3"
"Satisfactory","2009","35-65 y.","Female","1873","0.376897085458938","0.363682237495001","0.390111933422876","3"
"Satisfactory","2009","66 and older","Female","955","0.44937874401269","0.428686654274728","0.470070833750651","3"
"Very good","2009","16-34 y.","Male","403","0.196364679993133","0.178618947964815","0.21411041202145","1"
"Very good","2009","16-34 y.","Female","360","0.167733574220123","0.151657491625124","0.183809656815122","1"
"Very good","2009","35-65 y.","Male","271","0.0594494026968021","0.052698463434719","0.0662003419588852","1"
"Very good","2009","35-65 y.","Female","338","0.0703726373283248","0.063397909695165","0.0773473649614846","1"
"Very good","2009","66 and older","Male","50","0.0219405895530023","0.0154946827558501","0.0283864963501546","1"
"Very good","2009","66 and older","Female","39","0.0160392975309836","0.0108134931025164","0.0212651019594507","1"
"Good","2010","16-34 y.","Male","1394","0.495639713540279","0.477060684301491","0.514218742779068","2"
"Good","2010","16-34 y.","Female","1871","0.498039612777869","0.482146509668088","0.513932715887649","2"
"Good","2010","35-65 y.","Male","2722","0.404135265591545","0.391951779134485","0.416318752048605","2"
"Good","2010","35-65 y.","Female","2969","0.379275664050381","0.368038471886721","0.390512856214042","2"
"Good","2010","66 and older","Male","473","0.235644617328036","0.216720268004358","0.254568966651715","2"
"Good","2010","66 and older","Female","409","0.171021137635554","0.155064575684574","0.186977699586535","2"
"Less good","2010","16-34 y.","Male","139","0.04756934875656","0.039659834506493","0.055478863006627","4"
"Less good","2010","16-34 y.","Female","300","0.0716012151564787","0.063405827281853","0.0797966030311044","4"
"Less good","2010","35-65 y.","Male","762","0.145457453970891","0.136704206547319","0.154210701394464","4"
"Less good","2010","35-65 y.","Female","962","0.155092178386371","0.146708578444774","0.163475778327968","4"
"Less good","2010","66 and older","Male","428","0.237938539823804","0.218950858889314","0.256926220758293","4"
"Less good","2010","66 and older","Female","542","0.264438442099069","0.245748218129501","0.283128666068637","4"
"Poor","2010","16-34 y.","Male","31","0.00984590557062845","0.00617689675573465","0.0135149143855222","5"
"Poor","2010","16-34 y.","Female","44","0.0109536080174964","0.00764512458727228","0.0142620914477205","5"
"Poor","2010","35-65 y.","Male","186","0.0374528288104941","0.0327388492789682","0.0421668083420201","5"
"Poor","2010","35-65 y.","Female","236","0.0442382482954956","0.0394760802457792","0.0490004163452121","5"
"Poor","2010","66 and older","Male","144","0.078572362315832","0.0665743293036985","0.0905703953279655","5"
"Poor","2010","66 and older","Female","199","0.0969535775585467","0.0844140938229539","0.10949306129414","5"
"Satisfactory","2010","16-34 y.","Female","831","0.224390314786342","0.211129637673574","0.237650991899111","3"
"Satisfactory","2010","16-34 y.","Male","568","0.214681648479077","0.199423920703616","0.229939376254537","3"
"Satisfactory","2010","35-65 y.","Male","1979","0.34430971792993","0.332513076399924","0.356106359459936","3"
"Satisfactory","2010","35-65 y.","Female","2271","0.34500200312829","0.333992651905061","0.35601135435152","3"
"Satisfactory","2010","66 and older","Male","838","0.425058199593011","0.403014693509504","0.447101705676518","3"
"Satisfactory","2010","66 and older","Female","942","0.44137134592533","0.4203284081717","0.462414283678961","3"
"Very good","2010","16-34 y.","Male","650","0.232263383653456","0.216571826981813","0.247954940325099","1"
"Very good","2010","16-34 y.","Female","756","0.195015249261814","0.182421061966219","0.207609436557408","1"
"Very good","2010","35-65 y.","Male","583","0.0686447336971398","0.0623671043733592","0.0749223630209204","1"
"Very good","2010","35-65 y.","Female","724","0.0763919061394618","0.0702401590690817","0.082543653209842","1"
"Very good","2010","66 and older","Female","47","0.0262154967814993","0.0194444911628842","0.0329865024001143","1"
"Very good","2010","66 and older","Male","49","0.022786280939317","0.0161323845884607","0.0294401772901733","1"
"Good","2011","16-34 y.","Male","1451","0.477347959212443","0.459193858088296","0.495502060336591","2"
"Good","2011","16-34 y.","Female","1947","0.503671002824761","0.488001237884508","0.519340767765015","2"
"Good","2011","35-65 y.","Male","3196","0.40088115826519","0.389780250717476","0.411982065812905","2"
"Good","2011","35-65 y.","Female","3710","0.386352940829263","0.376267590566502","0.396438291092025","2"
"Good","2011","66 and older","Male","667","0.25395873444144","0.236875784486569","0.271041684396311","2"
"Good","2011","66 and older","Female","621","0.213183137576932","0.197757716953642","0.228608558200222","2"
"Less good","2011","16-34 y.","Male","141","0.044400151033341","0.0369136110241868","0.0518866910424952","4"
"Less good","2011","16-34 y.","Female","324","0.0740450781713589","0.0658387816913077","0.0822513746514102","4"
"Less good","2011","35-65 y.","Male","919","0.135621653557331","0.127866138748309","0.143377168366353","4"
"Less good","2011","35-65 y.","Female","1284","0.165644732843983","0.157944499830914","0.173344965857052","4"
"Less good","2011","66 and older","Female","696","0.270766572628212","0.254030460807292","0.287502684449132","4"
"Less good","2011","66 and older","Male","510","0.223776662142935","0.207419776767089","0.240133547518781","4"
"Poor","2011","16-34 y.","Female","45","0.0077602419723489","0.00501013158111773","0.0105103523635801","5"
"Poor","2011","16-34 y.","Male","27","","","","5"
"Poor","2011","35-65 y.","Male","249","0.0370580656649885","0.0327791315680819","0.041336999761895","5"
"Poor","2011","35-65 y.","Female","318","0.0393287668216611","0.0353026895718294","0.0433548440714927","5"
"Poor","2011","66 and older","Male","181","0.0776982828720936","0.0671921694378088","0.0882043963063785","5"
"Poor","2011","66 and older","Female","232","0.0953240408976855","0.0842636237226605","0.106384458072711","5"
"Satisfactory","2011","16-34 y.","Female","887","0.223547442402027","0.210490349378232","0.236604535425822","3"
"Satisfactory","2011","16-34 y.","Male","556","0.201208596422676","0.186637546474327","0.215779646371025","3"
"Satisfactory","2011","35-65 y.","Male","2462","0.351103876719448","0.340292037553853","0.361915715885043","3"
"Satisfactory","2011","35-65 y.","Female","2799","0.329931914355754","0.320192985880923","0.339670842830585","3"
"Satisfactory","2011","66 and older","Male","1060","0.420575126329705","0.401201084822115","0.439949167837296","3"
"Satisfactory","2011","66 and older","Female","1085","0.395775493404065","0.377357285185387","0.414193701622743","3"
"Very good","2011","16-34 y.","Male","733","0.268934925855117","0.252819102019043","0.285050749691192","1"
"Very good","2011","16-34 y.","Female","708","0.190976234629504","0.178657262124855","0.203295207134154","1"
"Very good","2011","35-65 y.","Male","661","0.0753352457930429","0.0693568394349222","0.0813136521511636","1"
"Very good","2011","35-65 y.","Female","843","0.0787416451493384","0.0731629515664225","0.0843203387322542","1"
"Very good","2011","66 and older","Male","76","0.0239911942138258","0.0179856458652396","0.0299967425624119","1"
"Very good","2011","66 and older","Female","74","0.0249507554931061","0.0190761475760002","0.0308253634102119","1"
"Good","2012","16-34 y.","Female","1759","0.493838507770259","0.477458870931889","0.51021814460863","2"
"Good","2012","16-34 y.","Male","1377","0.479946607457036","0.461358420697128","0.498534794216945","2"
"Good","2012","35-65 y.","Male","3189","0.411628891651985","0.400313255135902","0.422944528168068","2"
"Good","2012","35-65 y.","Female","3785","0.395473733953671","0.385282783542289","0.405664684365053","2"
"Good","2012","66 and older","Male","727","0.266364564331285","0.249190124853186","0.283539003809384","2"
"Good","2012","66 and older","Female","617","0.209411916218607","0.194092603804149","0.224731228633065","2"
"Less good","2012","16-34 y.","Male","150","0.0521576304862203","0.0438850008211828","0.0604302601512579","4"
"Less good","2012","16-34 y.","Female","283","0.0771690049934458","0.0684262203967172","0.0859117895901744","4"
"Less good","2012","35-65 y.","Male","865","0.129689435601021","0.121964589746905","0.137414281455138","4"
"Less good","2012","35-65 y.","Female","1169","0.144114423006935","0.136794443653385","0.151434402360485","4"
"Less good","2012","66 and older","Male","502","0.212082398057095","0.196200700849975","0.227964095264215","4"
"Less good","2012","66 and older","Female","672","0.261564914771723","0.245018292545398","0.278111536998049","4"
"Poor","2012","16-34 y.","Male","31","0.00780131664458778","0.0045279106506146","0.011074722638561","5"
"Poor","2012","16-34 y.","Female","46","0.0106419288001222","0.00728026585647253","0.0140035917437718","5"
"Poor","2012","35-65 y.","Male","235","0.0341726298356171","0.029995390589564","0.0383498690816702","5"
"Poor","2012","35-65 y.","Female","299","0.0393966985518565","0.0353420778758243","0.0434513192278887","5"
"Poor","2012","66 and older","Male","156","0.0657031168548075","0.0560772547955044","0.0753289789141106","5"
"Poor","2012","66 and older","Female","195","0.0783219432497179","0.0682062699046543","0.0884376165947814","5"
"Satisfactory","2012","16-34 y.","Male","533","0.200727049249717","0.185824275596931","0.215629822902502","3"
