"pli0096_h","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1985","Baden-Württemberg","(2b) intermediate general qualification","3","","",""
"Min 1x per month","1985","Baden-Württemberg","(2a) intermediate vocational","14","","",""
"Min 1x per month","1985","Baden-Württemberg","(2c_gen) general maturity certificate","1","","",""
"Min 1x per month","1985","Baden-Württemberg","(2c_voc) vocational maturity certificate","3","","",""
"Min 1x per month","1985","Baden-Württemberg","(3a) lower tertiary education","3","","",""
"Min 1x per month","1985","Baden-Württemberg","(3b) higher tertiary education","8","","",""
"Min 1x per month","1985","Bavaria","(0) in school","1","","",""
"Min 1x per month","1985","Bavaria","(1a) inadequately completed","1","","",""
"Min 1x per month","1985","Bavaria","(1b) general elementary school","20","","",""
"Min 1x per month","1985","Bavaria","(1c) basic vocational qualification","52","0.0734255314912533","0.0540336743650761","0.0928173886174305"
"Min 1x per month","1985","Bavaria","(2b) intermediate general qualification","4","","",""
"Min 1x per month","1985","Bavaria","(2a) intermediate vocational","24","","",""
"Min 1x per month","1985","Bavaria","(2c_gen) general maturity certificate","6","","",""
"Min 1x per month","1985","Bavaria","(2c_voc) vocational maturity certificate","4","","",""
"Min 1x per month","1985","Bavaria","(3a) lower tertiary education","9","","",""
"Min 1x per month","1985","Bavaria","(3b) higher tertiary education","14","","",""
"Min 1x per month","1985","Berlin","(0) in school","","","",""
"Min 1x per month","1985","Berlin","(1a) inadequately completed","","","",""
"Min 1x per month","1985","Berlin","(1b) general elementary school","1","","",""
"Min 1x per month","1985","Berlin","(1c) basic vocational qualification","7","","",""
"Min 1x per month","1985","Berlin","(2b) intermediate general qualification","2","","",""
"Min 1x per month","1985","Berlin","(2a) intermediate vocational","7","","",""
"Min 1x per month","1985","Berlin","(2c_gen) general maturity certificate","2","","",""
"Min 1x per month","1985","Berlin","(2c_voc) vocational maturity certificate","2","","",""
"Min 1x per month","1985","Berlin","(3a) lower tertiary education","","","",""
"Min 1x per month","1985","Berlin","(3b) higher tertiary education","1","","",""
"Min 1x per month","1985","Brandenburg","(0) in school","","","",""
"Min 1x per month","1985","Brandenburg","(1a) inadequately completed","","","",""
"Min 1x per month","1985","Brandenburg","(1b) general elementary school","","","",""
"Min 1x per month","1985","Brandenburg","(1c) basic vocational qualification","","","",""
"Min 1x per month","1985","Brandenburg","(2b) intermediate general qualification","","","",""
"Min 1x per month","1985","Brandenburg","(2a) intermediate vocational","","","",""
"Min 1x per month","1985","Brandenburg","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1985","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1985","Brandenburg","(3a) lower tertiary education","","","",""
"Min 1x per month","1985","Brandenburg","(3b) higher tertiary education","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"Min 1x per month","1985","Saxony","(0) in school","","","",""
"Min 1x per month","1985","Saxony","(1a) inadequately completed","","","",""
"Min 1x per month","1985","Saxony","(1b) general elementary school","","","",""
"Min 1x per month","1985","Saxony","(1c) basic vocational qualification","","","",""
"Min 1x per month","1985","Saxony","(2b) intermediate general qualification","","","",""
"Min 1x per month","1985","Saxony","(2a) intermediate vocational","","","",""
"Min 1x per month","1985","Saxony","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1985","Saxony","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1985","Saxony","(3a) lower tertiary education","","","",""
"Min 1x per month","1985","Saxony","(3b) higher tertiary education","","","",""
"Min 1x per month","1985","Saxony-Anhalt","(0) in school","","","",""
"Min 1x per month","1985","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Min 1x per month","1985","Saxony-Anhalt","(1b) general elementary school","","","",""
"Min 1x per month","1985","Saxony-Anhalt","(1c) basic vocational qualification","","","",""
"Min 1x per month","1985","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"Min 1x per month","1985","Saxony-Anhalt","(2a) intermediate vocational","","","",""
"Min 1x per month","1985","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1985","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1985","Saxony-Anhalt","(3a) lower tertiary education","","","",""
"Min 1x per month","1985","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"Min 1x per month","1985","Thuringia","(0) in school","","","",""
"Min 1x per month","1985","Thuringia","(1a) inadequately completed","","","",""
"Min 1x per month","1985","Thuringia","(1b) general elementary school","","","",""
"Min 1x per month","1985","Thuringia","(1c) basic vocational qualification","","","",""
"Min 1x per month","1985","Thuringia","(2b) intermediate general qualification","","","",""
"Min 1x per month","1985","Thuringia","(2a) intermediate vocational","","","",""
"Min 1x per month","1985","Thuringia","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1985","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1985","Thuringia","(3a) lower tertiary education","","","",""
"Min 1x per month","1985","Thuringia","(3b) higher tertiary education","","","",""
"Rarely","1985","Schleswig-Holstein","(0) in school","1","","",""
"Rarely","1985","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Rarely","1985","Schleswig-Holstein","(1b) general elementary school","5","","",""
"Rarely","1985","Schleswig-Holstein","(1c) basic vocational qualification","7","","",""
"Rarely","1985","Schleswig-Holstein","(2b) intermediate general qualification","1","","",""
"Rarely","1985","Schleswig-Holstein","(2a) intermediate vocational","4","","",""
"Rarely","1985","Schleswig-Holstein","(2c_gen) general maturity certificate","2","","",""
"Rarely","1985","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","",""
"Rarely","1985","Schleswig-Holstein","(3a) lower tertiary education","1","","",""
"Rarely","1985","Schleswig-Holstein","(3b) higher tertiary education","2","","",""
"Rarely","1985","Hamburg","(0) in school","","","",""
"Rarely","1985","Hamburg","(1a) inadequately completed","","","",""
"Rarely","1985","Hamburg","(1b) general elementary school","2","","",""
"Rarely","1985","Hamburg","(1c) basic vocational qualification","6","","",""
"Rarely","1985","Hamburg","(2b) intermediate general qualification","","","",""
"Rarely","1985","Hamburg","(2a) intermediate vocational","2","","",""
"Rarely","1985","Hamburg","(2c_gen) general maturity certificate","2","","",""
"Rarely","1985","Hamburg","(2c_voc) vocational maturity certificate","1","","",""
"Rarely","1985","Hamburg","(3a) lower tertiary education","1","","",""
"Rarely","1985","Hamburg","(3b) higher tertiary education","","","",""
"Rarely","1985","Lower Saxony","(0) in school","3","","",""
"Rarely","1985","Lower Saxony","(1a) inadequately completed","1","","",""
"Rarely","1985","Lower Saxony","(1b) general elementary school","13","","",""
"Rarely","1985","Lower Saxony","(1c) basic vocational qualification","23","","",""
"Rarely","1985","Lower Saxony","(2b) intermediate general qualification","6","","",""
"Rarely","1985","Lower Saxony","(2a) intermediate vocational","8","","",""
"Rarely","1985","Lower Saxony","(2c_gen) general maturity certificate","4","","",""
"Rarely","1985","Lower Saxony","(2c_voc) vocational maturity certificate","2","","",""
"Rarely","1985","Lower Saxony","(3a) lower tertiary education","5","","",""
"Rarely","1985","Lower Saxony","(3b) higher tertiary education","9","","",""
"Rarely","1985","Bremen","(0) in school","","","",""
"Rarely","1985","Bremen","(1a) inadequately completed","1","","",""
"Rarely","1985","Bremen","(1b) general elementary school","2","","",""
"Rarely","1985","Bremen","(1c) basic vocational qualification","7","","",""
"Rarely","1985","Bremen","(2b) intermediate general qualification","","","",""
"Rarely","1985","Bremen","(2a) intermediate vocational","3","","",""
"Rarely","1985","Bremen","(2c_gen) general maturity certificate","","","",""
"Rarely","1985","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Rarely","1985","Bremen","(3a) lower tertiary education","","","",""
"Rarely","1985","Bremen","(3b) higher tertiary education","","","",""
"Rarely","1985","North Rhine-Westphalia","(0) in school","5","","",""
"Rarely","1985","North Rhine-Westphalia","(1a) inadequately completed","8","","",""
"Rarely","1985","North Rhine-Westphalia","(1b) general elementary school","38","0.0620483446017324","0.0430284029510648","0.0810682862524001"
"Rarely","1985","North Rhine-Westphalia","(1c) basic vocational qualification","93","0.0852320505500584","0.0680456055733211","0.102418495526796"
"Rarely","1985","North Rhine-Westphalia","(2b) intermediate general qualification","13","","",""
"Rarely","1985","North Rhine-Westphalia","(2a) intermediate vocational","28","","",""
"Rarely","1985","North Rhine-Westphalia","(2c_gen) general maturity certificate","15","","",""
"Rarely","1985","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","7","","",""
"Rarely","1985","North Rhine-Westphalia","(3a) lower tertiary education","9","","",""
"Rarely","1985","North Rhine-Westphalia","(3b) higher tertiary education","12","","",""
"Rarely","1985","Hesse","(0) in school","3","","",""
"Rarely","1985","Hesse","(1a) inadequately completed","4","","",""
"Rarely","1985","Hesse","(1b) general elementary school","9","","",""
"Rarely","1985","Hesse","(1c) basic vocational qualification","22","","",""
"Rarely","1985","Hesse","(2b) intermediate general qualification","4","","",""
"Rarely","1985","Hesse","(2a) intermediate vocational","18","","",""
"Rarely","1985","Hesse","(2c_gen) general maturity certificate","5","","",""
"Rarely","1985","Hesse","(2c_voc) vocational maturity certificate","2","","",""
"Rarely","1985","Hesse","(3a) lower tertiary education","1","","",""
"Rarely","1985","Hesse","(3b) higher tertiary education","9","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","(0) in school","2","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","(1a) inadequately completed","2","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","(1b) general elementary school","18","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","30","0.105665017037491","0.0698495518397495","0.141480482235233"
"Rarely","1985","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","3","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","8","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","6","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","4","","",""
"Rarely","1985","Baden-Württemberg","(0) in school","3","","",""
"Rarely","1985","Baden-Württemberg","(1a) inadequately completed","4","","",""
"Rarely","1985","Baden-Württemberg","(1b) general elementary school","23","","",""
"Rarely","1985","Baden-Württemberg","(1c) basic vocational qualification","69","0.113539626938367","0.0895352617322844","0.137543992144449"
"Rarely","1985","Baden-Württemberg","(2b) intermediate general qualification","8","","",""
"Rarely","1985","Baden-Württemberg","(2a) intermediate vocational","22","","",""
"Rarely","1985","Baden-Württemberg","(2c_gen) general maturity certificate","8","","",""
